Tweet,Date,♡,Image
"@name @name die Blicke der drei Nackideis - zu gut. 
Bestimmt intolerant 😋",Sep 09 2016,0,
"@name das wird dem Wirt hoffentlich eine Lehre sein!Hausverbot zurücknehmen u Freibier auf Lebenszeit,dass Minimum an Wiedergutmachung",Sep 09 2016,1,
"""Ich wähle #SPD""
""Warum?""
""Hat mein Vater auch immer gewählt und ist halt die #Arbeiterpartei - gehört sich so""
😫 Autsch",Sep 10 2016,0,
"@name @name
Zeig mir die Toilette und ich sag Dir wer dort kacken war... 👳
So sehen die Klos danach aber auch aus...😷",Sep 10 2016,0,
"@name passt doch ganz gut. Jetzt fehlt nur noch der Zusatz ""Grenzen schützen"" oder ein neuer Name wie ""Mobile #Frontex Strike"" 😉",Sep 10 2016,1,
"@name sieh es von der positiven Seite: zumindest ist der Bildschirm noch heile.
#traurigaberwahr",Sep 10 2016,0,
"@name @name da kannst die 3,3 Milliarden auch besser verbrennen - ist nicht jeder n J.
#FuckEU",Sep 16 2016,0,
"@name ""nicht nur Babys"" und dann hättest einfach zubeißen müssen 😁",Sep 23 2016,0,
"@name bah, nur ekelhaft, widerwärtig und menschenverachtend ... Gefällt mir... Muss ich mir jetzt n Tattoo stechen lassen?",Sep 24 2016,0,
"@name was,Du weißt es nicht? Ein 17-Jähriger hat da was in Erfahrung gebracht
@name
http://",Sep 24 2016,2,
"Und das schlägt sie wieder zu #DieMacht
#TSGS04 #S04 #Schalke04  #0Punkte  #BuLi
http://",Sep 25 2016,1,0002.jpg
@name Kann gar nicht sein... Es gibt nämlich keine #Überfremdung! Deshalb müssen wir auch nicht über #Islamisierung sprechen... Ende,Sep 29 2016,1,
"@name deutsch,im 2. WK bestimmt Soldat gewesen,benutzt rechten Arm zum Grüßen... Der Mann ist ein Verbrecher,ein Nazi! /Ironie aus",Sep 30 2016,1,
"@name es reicht auch 0% Brüste und 100% Hatespeech...
Aber 100% Brüste und 100% Hatespeech sind auch in Ordnung 😤",Sep 30 2016,1,
"@name nur bedroht?Vergebliches warten auf gute Nachrichten...
Son Krankenhausbrand ( #Bergmannsheil ?)  is allerdings auch nicht Top",Sep 30 2016,0,
"@name @name Hey,wenn es in der Hauptstadt schon ""Arm aber sexy"" hieß, warum sollte dies nicht für den Rest der Republik gelten?",Oct 01 2016,2,
Wie lange spielen wir noch? Der Hund hat auf die Hundedecke gekotzt... Hundekotzte stinkt gar nicht (so sehr) 😜 @name,Oct 13 2016,1,
@name möge der bessere gewinnen http://,Nov 01 2016,0,0003.jpg
@name ... auch lieber als lebendig,Nov 01 2016,0,
"@name @name das EINE Symbol fehlt aber 😉
Und aufs Warten kann gerne verzichtet werden...",Nov 01 2016,1,
@name @name Merkels (christliche Nächstenliebe)? Als ob  ein anderer Kanzler anders gehandelt hätte...!?,Nov 01 2016,0,
"@name @news läuft bei denen... Kennen sich wohl alle ausm Kreis der ""Anonymen Kindeslienhaber""",Nov 01 2016,1,
"@name Hey, hey, hey... Und gleich sagst auch noch, sie schmeißen Steine! Dafür sind die Rassisten links sogar passiv bewaffnet...",Nov 01 2016,0,
"@name viel wichtiger die Behandlung der Immunschwächekrankheit. Liberales, christliches und demokratisches Gedönse.",Nov 01 2016,0,
"@name @name wer ist ""er""? Der Eiserne Kanzler? Oder ER? Oder etwas moderner - Kohl oder Schröder? Ein hätte-Kanzler Stoiber?",Nov 02 2016,0,
"Kann dieser Kasten lügen? 😏
#Dortmund #Kronen #Brinkhoffs #Hansa #Hövels #DAB #Thier #Union #Ritter #Stifts #DBB
http://",Nov 05 2016,1,0004.jpg
@name @name einfach nochmal lesen und sich selbst fragen ob ich das so geschrieben habe oder ob Sie das nur so interpretieren,Nov 05 2016,0,
"@name @name ja, ein Trauerspiel. Gute Natinalsozialisten habens aber nicht nötig. Oder vllt auch einfach vom Feind gelernt.",Nov 05 2016,0,
"@name bestimmt KDV, wa?
@name Die Republik liebt Desateure u. Verräter.. Stauffenberg, Geschwister Scholl.. Dahergelaufene..",Nov 05 2016,0,
"Es bedarf nicht vieler Worte

Deutschland, Deutschland über alles, über alles in der Welt",Nov 05 2016,0,
"Klar geb ich dem Kloneger 50 Cent, einer weißen Klokraft allerdings 1€  - ich bin Rassist und kein ""Unmensch"" 😜",Nov 05 2016,0,
@name oder zieh in einen Stadtteil mit vielen Faschos... Dann sind se dauerhaft vor Ort #Dortmund #Dorstfeld #Nazikiez,Nov 06 2016,0,
"Samma @name  , wattn die beste Uhrzeit #Hass und #Hetze zu verbreiten?",Nov 12 2016,0,
"@name @name wie, noch ne Frage der Zeit 😦
@name 😶",Nov 17 2016,0,
"klar, Artikel lesen und auf den Verweis achten - Basler Zeitung http://",Nov 19 2016,0,
"@name klar, senkt die Lebenserwartung und erspart der Republik auch noch die paar Kröten welche Du an Rente beziehst",Nov 20 2016,0,
@name @name beim Mitführen eines Teli und Kontrolle durch die Staatsmacht ist Ärger vorprogrammiert - schade ums Geld,Nov 24 2016,0,
"@name @name ich hab se ned vergesse.Recht haben's - bis es passiert (bei Einsatz?).Pfeffer reicht,wollen se mehr - andere Wege ;)",Nov 25 2016,0,
"@name klingt nach ländlicher Gegend... Schön 😊
Alles Gute ✌",Nov 25 2016,0,
"@name Treffer! Trifft aber wohl auf alle Systeme zu, solange genug zum fressen, kacken und amüsieren da ist. #FDGOisNOTtheBEST",Nov 25 2016,0,
@name Dankeschön🤗😄,Dec 16 2016,0,
@name Ich hab auch seid um 6 WE und 2 Wochen Urlaub.😜😄 Schönen Urlaub dir/euch!😉😊,Dec 16 2016,1,
"Verkehrsunfall mit Migrationshintergrund oder menschenverachtender Terroranschlag von Rechtsextremisten? 
#Berlin #LKWTerror",Dec 19 2016,0,
"Genießen Sie die Feiertage im Kreise ihrer Familie, mehr als schon davor, in dem Bewusstsein, dass die Zeiten nicht besser werden.",Dec 25 2016,1,
"""Auge um Auge - Zahn um Zahn"" - das können auch nur gutgläubige Christen o. Nationaldemokraten. 1:10 das Minimum - 1:100 akzeptabel #racewar",Dec 29 2016,1,
"#Menschenmüll sperrt man nicht ein oder fliegt ihn um die halbe Welt,

man entsorgt ihn - für immer!",Dec 30 2016,1,
"@name und dann noch aus ner grünen Flasche... Schmeckt gleich doppelt gut 😊
Ist noch etwas hin, aber... Auf ins neue Jahr! 
Zum Wohle",Dec 30 2016,1,
"@name der ""Ermittler"" findet also einen charesmatischen Anführer von rechts gefährlich für unser Land? Kein Mitleid!",Dec 31 2016,0,
@name hab ich was verpasst??????? Twitterkonten im Wandel? 😄,Dec 31 2016,0,
Ich verzichte einfach mal auf die besten Grüße zum Jahreswechsel u wünsche stattdessen allen Volksverrätern u -feinden n schnelles Verrecken,Dec 31 2016,1,
"@name da dürfte wohl nicht nur allen Frauen Vorsicht geraten sein, sondern jeden Weißen, gleich welcher Herkunft.",Jan 01 2017,2,
Kannst Du Randy helfen? http://,Jan 09 2017,0,0005.jpg
@name ich fahre ja auch mit Helm 😏 http://,Jan 10 2017,3,0006.jpg
"@name ich muss immer wieder an ""Die Tagebücher"" denken. Das Volk komplett entwaffnen und eine artfremde Polizei-/Prügeltruppe aufstellen",Jan 10 2017,1,
"@name … ""In diesem Falle zwingt uns dieser Staat auf Felder auszuweichen, welche wir niemals betreten wollten.“
M. Reich #JN #BaWü
2/2 #Widerstand",Jan 13 2017,1,
"Kommt es zum #NPD Verbot, gibt die #BRD „der deutschen Jugend keine Chance mehr, sich friedlich zu organisieren."" …
1/2",Jan 13 2017,2,
@name .@name welche Oesterreicherin hat bitte freiwilligen Sex mit zwei Afghanen.,Jan 14 2017,0,
"@name ach pfff... Machst n guten Eindruck und hast Bonuspunkte 😜
Also nicht aus der Bahn werfen lassen und locker werden.
ZW 🍻",Jan 14 2017,0,
@name Arsch 😋,Jan 14 2017,1,
@name in Anbetracht mancher Missgeburten kann der Hass schon mal inne falsche Richtung gehen.Aber ich bin zufrieden mit der Antwort,Jan 14 2017,1,
"@name wir als ""Menschheit"" oder als Deutsche?",Jan 14 2017,0,
+++ EILMELDUNG +++ #Nafris zuenden mehrere Kinderwaegen in Berlin Neukoelln an. 17 Verletzte. #NafrisAbschieben http://,Jan 15 2017,0,
Gruene? Unwaehlbar! #AnneWill http://,Jan 15 2017,1,
"Im der Taat, Frankreich schon bald ein vollkommen islamischer Staat. #Nafris http://",Jan 16 2017,0,
"""I am gay"" wird zum ""Sesam oeffne dich"" fuer Europa. #Nafris #MaghrebSicher http://",Jan 17 2017,0,
#NPDUrteil: Ein verheerendes Signal an alle #Patrioten http:// #blauenarzisse #AfD,Jan 19 2017,2,
"@name finanziell fragwürdig, aber was tut man nicht alles um eine Famielie zu einen um sie dann wieder gemeinsam abzuschieben?",Jan 19 2017,0,
@name kürzester Weg zum Notausgang hoffe ich 😊,Jan 19 2017,0,
@name @name war noch nicht auf der Seite - wird dort über Werbung Geld verdient? Ist sowas für JEDEN straffrei zu erstellen?,Jan 20 2017,1,
"@name der Staatsanwalt würde,zumindest bezüglich letzter Frage,sage:Nur zu! Und sich die Hände reiben.",Jan 20 2017,1,
"@name ganz modern: ""dislike""
Als nächstes werde die Männer der SA noch mit der Antifa gleichgesetzt, wa...",Jan 20 2017,0,
"den Teil mit ""Ballerspielen und Rockmusik"" hättet ihr euch sparen können... http://",Jan 20 2017,0,
"Infos über #Trump Amtseinführung live über Stream und TV (germany)
http://
#InaugurationDay #MakeAmericaGreatAgain",Jan 20 2017,0,
Der Untergang der Abendlandes. #Nafris http://,Jan 24 2017,0,0007.jpg
"Berliner Feministen schreien ""Allah Akbar"" waehrend #WomensMarch. Linke Idiotie in Hoechstform http://",Jan 24 2017,0,
Sie testen unser System und lernen dass sie sich alles erlauben koennen. #Nafris #RapefugeesWelcome http://,Jan 24 2017,0,
Wieso denn nicht?! Fluechtlingsgeld reicht ja aus fuer einen Abstecher nach Eritrea. 😤 http://,Jan 24 2017,0,
"HellsAngels? Bandidos? Gremium? 
Mir reicht ein großer ""Club"" - #Wehrmacht!
http://",Jan 26 2017,0,0008.jpg
die Olle sieht nicht aus als ob se Bier dabei hätte.Nachher mussik Mo de Mukke leiser machen weil se Kopppinne hat... No way,Jan 26 2017,0,
"Eine Partei die an solchen Schuldkultveranstaltungen teilnimmt ist KEINE #Alternative!
#fckAfD #NSjetzt #AfD #Höcke
http://",Jan 26 2017,4,
"#Solidarität ist eine Waffe und diese gehört uns! Die betroffenen Aktivisten benötigen dringend Spenden.
http://
#AntiKap",Jan 30 2017,4,
"„Praktische Kapitalismuskritik“
http://
#AntiKap #NSjetzt #NSheute
#KapitalismusZerschlagen",Feb 17 2017,4,
"Unsere Stadt ...
#Kampfgeneration #ACAB #AntiKap
http://",Feb 21 2017,0,0009.jpg
"Antideutscher Abschaum ist heute in #Frankfurt wieder mal unterwegs
#FFM #ffm2502 #NSjetzt
http://",Feb 25 2017,1,
"Protest ist, wenn ich sage, das passt mir nicht. Widerstand ist, wenn ich dafür sorge, dass das nicht länger geschieht.
#ResistCapitalism",Feb 25 2017,16,
"@name Das heißt aber nicht, dass man mit Antinationalen Hand in Hand gehen muss. Ich kämpfe für einen nationalen Sozialismus.",Feb 26 2017,1,
"@name Der #Kapitalismus steht für Ausbeutung, Unterdrückung, Krieg, Ursache für Flüchtlingsströme... #ResistCapitalism #AntiKap",Feb 26 2017,3,
@name Die weltweiten Befreiungskämpfe müssen vernetzt werden um dem glob. Kapitalismus entgegen zu treten!,Feb 26 2017,0,
@name Einen neuen nationalen Sozialismus in einem Europa der Vaterländer.,Feb 26 2017,0,
"Tiere – Ein Verbrauchsartikel des #Kapitalismus
http://
#Tierschutz #AntiKap #NSjetzt",Feb 27 2017,3,
"Wir sehen uns ALLE am #1Mai 2017 in #HALLE! #1MaiHalle #AntikapBlock
#TddA #AntiKap #NSjetzt #KapitalismusZerschlagen
http://",Mar 02 2017,15,0010.jpg
"Antikapitalismus von ""Rechts""! Organisiert die soziale und nationale #Revolution! Jammern kann jeder... 💣
#Widerstand #AntiKap #NSjetzt
http://",Mar 06 2017,19,0011.jpg
"Wenn der Wind militanter ist als die Antifa, dann bist du in #Frankfurt!
#ffm2502 #fckafa #wearesoafraidagain
http://",Mar 06 2017,2,0012.jpg
"Es ist Zeit für #Widerstand!
#AntiKap #NSjetzt #KapitalismusZerschlagen
http://",Mar 10 2017,9,0013.jpg
"Die Welt im Würgegriff des Kapitals
http://
#AntiKap #NSjetzt #KapitalismusZerschlagen",Mar 11 2017,3,
"Werden sie Teil der modernen Gesellschaft - wenn sie es überleben
#Kinderbücher #Indianer #Völkermord #Demokratie
http://",Mar 17 2017,0,0014.jpg
"Zins – Der Konstruktionsfehler im Geldsystem
http://
#AntiKap #KapitalismusZerschlagen",Mar 22 2017,2,
"@name um ca 3Uhr hättest ruhig auch mal n Foto vom Hbf machen können, in seiner ganzen ""Vielfalt""",Mar 27 2017,0,
"Wir kämpfen in der Nacht für bessere Tage! #Widerstand #NSjetzt
#AntiKap #ResistCapitalism #KapitalismusZerschlagen
http://",Mar 30 2017,37,0015.jpg
Andere machen sich Gedanken um keine Unbeteiligten zu schädigen - er wirft vorher Ziegel. Ein Glück das niemand verletzt wurde.,Mar 31 2017,0,
#Duisburg bitte um Mithilfe. #Nafris ueberfallen Vater mit Baby. http://,Apr 07 2017,0,
#Fahndung nach extrem gewalttätigen #Nafri #Berlin http://,Apr 07 2017,0,
@name So wahr... So.... Demokratisch... Oder wie man es nennen mag,Apr 07 2017,0,
Gewaltbereite #Nafris nehmen ganze Stadtteile ein. Polizei machtlos. Willkommen im neuen Deutschland. http://,Apr 07 2017,0,
@name Also bitte! Das ist ja wohl klarer Zufall,Apr 09 2017,0,
Bloß ein weiterer Tag im neuen Deutschland http://,Apr 09 2017,0,
Logik: Sofort alle illegalen Moslems aus Europa abschieben🖕🏻. Realität: 🙊🙉🙈 #IslamIsPeace http://,Apr 09 2017,0,
Alle #Nafris bedingungslos abschieben! #Bereicherung http://,Apr 10 2017,0,
"Kampf dem KAPITAL
geht nur NATIONAL!
#AntiKap #KapitalismusZerschlagen #NSjetzt
http://",Apr 12 2017,7,0016.jpg
"@name @name @name @name  @name 
Glückwunsch, ihr wurdet an der FSU angenommen - schöne Feiertage - auch an den Rest ✌",Apr 14 2017,3,
"@name @name Darum ist die auch Partei Bonze,die ist nicht arm,scheiss doch auf die anderen,die gehen doch mich nix an.So etwa?",Apr 16 2017,0,
"@name Gibt's bei denen noch was anderes Immobilien als Gewalt und über Frauen herfallen.das ist doch nicht normal,wie züchtet man solche idioten?",Apr 16 2017,0,
"@name Meinste? Vllt weils auch mehr zum Jahresende hin ist?
Diese Zeit, egal ob Jul oder Ostara, verbringe ich gern mit der Familie",Apr 16 2017,0,
"@name @name @name Lieber Wölfe die nicht so gefährlich sind wie ihr ruf,als Gold das viel gefährlicher ist als ihr ruf,alles nur Märchen",Apr 18 2017,1,
"@name @name Bald kommt die Reisewarnung nur nicht nach D fahren,schlimmer als Afghanistan.dann sind wir endlich im Buntsandstein angekommen",Apr 18 2017,7,
"@name @name Darum so geil auf Verschleierung,die denken Burkas sind welche von denen.",Apr 18 2017,0,
"@name @name Die schicken jede Frau hach erfolgreicher Vergewaltigung anschaffen,dann muss jede Frau unzählige Triebler bedienen und es kommt Geld rein",Apr 18 2017,0,
"@name @name Ich auch,beginnt mit jedem Putzlappen aufm Kopf der vor mir rum rennt.Ratet mal womits aufhört und was dazwischen alles liegt?",Apr 18 2017,0,
@name @name In welchem Amt war der je Ernst zu nehmen?,Apr 18 2017,2,
"@name @name Klar,gleich und gleich gesellt sich zueinander.",Apr 18 2017,2,
"@name @name Und die tun Frauen einen guten Dienst,kommt seit dumm und wählt uns,dann verscharrern wir euch an den nächsten Musel der euch richtig faltet",Apr 18 2017,1,
"@name @name Und hier um das sozialsysteme zum kollabieren zu bringen,Justiz,Gewalten,danach Sturm weil mullah oder wer auch immer es befiehlt",Apr 18 2017,4,
"@name Hoffentlich,der Fehler von 83 in Hessen für den wir immer noch zahlen,die als richtige Partei zulassen.",Apr 18 2017,0,
"@name Nix Seenot,die sind extra mit Absicht da,mit Handy und haben vorher ausgemacht wo man die abholen soll",Apr 18 2017,2,
"@news @name Von arbeiten halten die eh nix,nur vom randalieren und Sozialhilfe kassieren,etwa wie .......,genau die.....!.?",Apr 18 2017,3,
"Erdo wie man am besten wahlen manipuliert,so mit offenen Abstimmungen,mit Bedrohung,Einschüchterung.Wo Erdo nicht reicht fragt die Speck Ung",Apr 18 2017,0,
"Ja,und Unterstützung unserer Pseudoregierung,Wahlkampf 8 Wochen lang,Wahlkabinen,fin.Mittel,TVs Auftritte.Nun holt sich Murkel Tipps von",Apr 18 2017,0,
@name @name @name Noch tiefer als die meisten denken.,Apr 19 2017,0,
@name @name Bei der ist Integration auch fehlgeschlagen.Wie hier geboren?Ihr Hirn hat sich leider nicht integriert!,Apr 19 2017,1,
"@name @name Dachpappe ist schlauer,die zieht sich nicht so an.",Apr 19 2017,1,
"@name @name Die gleichen boote und Besitzungen die Schiffe kaperten,Millionen als Lösegeld kassierten und die gleichen strippenzieher.",Apr 19 2017,3,
"@name @name Ja,kommt wir retten euch,huch nun sind wir in D,steigt aus und seit glücklich.-Die Merkels nicht das die wieder in Afrika sind bei Nacht.",Apr 19 2017,0,
"@name Glaubt die nicht,die ist SED,Honeckers Rache,das Ziel ist D zu zerstören,das war's immer,die ist honeckers Klon,wer weiß was sonst noch",Apr 19 2017,0,
"@name Quatch,das wir alles bald verboten.erinnert euch an das Video über D,das letzten Sommer während der Trump Wahl auftauchte,so kommt es bald",Apr 19 2017,0,
"Horst #Mahler befindet sich auf der Flucht vor diesem System!
#wirsindHorst #HorstMahler
http://",Apr 19 2017,1,
"Kriegstreiber beim Namen nennen!
http://
#Frankfurt #AntiImp",Apr 19 2017,0,
"Ostereier gegen Kriegstreiber!
http://
#JN #Hessen #Wiesbaden",Apr 19 2017,0,
"Heraus zum 1. Mai 2017
Von #Freigeist
http://
#1MaiHalle #AntiKap #NSjetzt #KapitalismusZerschlagen
http://",Apr 20 2017,9,0017.jpg
"Den nationalen Aufbau unterstützen!
#NSjetzt #KapitalismusZerschlagen #AntiKap
http://",Apr 21 2017,16,0018.jpg
@name @name 😂 diese Lutscher #fckafa,Apr 21 2017,0,
@name Feiges Zecken-Dreckspack.. 😠😠👊👊,Apr 22 2017,2,
@name Wurde bestimmt nicht bezahlt vom staat..,Apr 22 2017,0,
@HeikoMaas @name Das besorgt ihr Bonzen euch mal besser in Übergröße...,Apr 23 2017,1,
"#cdu #spd #afd #flüchtlinge #asyl
So siehts aus..
http://",Apr 24 2017,0,
@name Dieses hirnlose Gelaber könnte auch glatt von einen der deutschen Polit-Affen stammen.. #nichtnormal,Apr 26 2017,0,
@name Ich fordere.. #Özdemir verpiss dich,Apr 26 2017,1,
@name Meine Kinder lernen son Rotz mit Sicherheit nicht... 😠😠😠,Apr 27 2017,1,
"@name Doch doch.. Die gibt es tatsächlich 😂😂
#neinzuRB
http://",Apr 28 2017,0,0019.jpg
@name Das is quasi ein: http://,Apr 28 2017,1,0020.jpg
@name Nachgeburt groß gezogen...,Apr 29 2017,0,
@name Die Mutter sollte sich schämen ! Ohne Worte !,May 01 2017,0,
Unsere #Solidarität gegen eure #Repression! #1MaiHalle #hal0105 #Apolda #läuftdoch #WutimBauch http://,May 02 2017,15,0021.jpg
"Es gibt keinen systemkonformen #Widerstand! #NSjetzt #AntiKap #KapitalismusZerschlagen

@ #Kampfgeneration http://
http://",May 04 2017,13,0022.jpg
"http:// äußert sich zum #1MaiHalle und zum #AKK
http://
#AntiKap #hal0105 #Apolda
http://",May 06 2017,7,0023.jpg
"@name @name @name Letztens.. Auch Temmen, Düstersee. http://",May 08 2017,2,0024.jpg
@name @name @name Grad gestern erst.. War ne Runde mitn Boot draußen ;—),May 08 2017,2,
@name @name @name Ja das ist wirklich schwierig.. Jeder auf seine Art würde ich mal sagen🤗😊,May 08 2017,1,
@name @name Großer Krienert-See😉,May 08 2017,1,
"@name @name Ja das stimmt, da gibt es schon schöne Ecken 😊👍",May 08 2017,1,
@name @name Wohne da.. und als Angler kennt man doch seine Seen.. 🤗🤗 Lg,May 08 2017,1,
#PöbelRalle #feuermelder wer würde da nicht gerne...👊 http://,May 09 2017,0,0025.jpg
"Von Hetzern, Mehl und das #AKK
http://
Von den Kameraden aus Berlin @name 
#AntiKap #1MaiHalle #hal0105 #Apolda",May 09 2017,7,
"Warum die #Allianz scheiße ist - weiterer Reisebericht zum #1Mai
http://
#AntiKap #AKK #NSjetzt #1MaiHalle #hal0105 #Apolda",May 09 2017,4,
"#wasmichanDeutschlandstoert

- Familien- & Volksfeindlichkeit
- Antideutsche
- Überfremdund
- drohender Volkstod
- kapitalistisches System",May 11 2017,9,
"Der #1Mai in #Halle und #Apolda
[#AntikapBlock Bilder aus Apolda]
http://
#1MaiHalle #hal0105 #AntiKap
http://",May 12 2017,4,0026.jpg
"Wir wollen demonstrieren wann, wo und wie wir wollen! #AntiKap
http://
#1MaiHalle #hal0105 #Apolda #NSjetzt
http://",May 12 2017,9,0027.jpg
"Angriff ist die beste Verteidigung!
http://
#AntiKap #NSjetzt #ResistCapitalism #Widerstand
http://",May 12 2017,5,0028.jpg
"@name @name @news Dreckiges Grinsen von denen die für Anschläge und Verbrechen sind,gegen Europa,Frankreich,Deutschland,gegen Freiheit.Ein neuer buddie.Wo ist",May 15 2017,0,
@name @name @news Erdo auf dem Bild.Der fehlt doch noch.Und Speck ung,May 15 2017,0,
"@name @name Allem Schuld und für alles verantwortlich ist.Dieses so gelobte Europa,diese so gelobten Werte,diese so gelobte Freiheit und Kultur,am Arsch",May 15 2017,1,
"@name @name Entscheidungen,nicht um ein freies und respektvolles Leben,es geht um Hass und um weibliche Steuerzahler,und um Frauen die diese wählen.",May 15 2017,0,
"@name @name So sind doch alle Emanzen,bei Roth angefangen.Emanzentum die Unterdrückung der Frau durch Kopflappen etc.befürworten,geht's nicht um freie",May 15 2017,0,
"@name @name Türkei,Gewaltverbrechen,schuldig,wir sind schuld das Titanic sank,Untergang Roms,das die Dinos weg sind,einfach an allem",May 15 2017,1,
@name @name Wieso denn Entlastung.Dank der nicht erwünschten und nicht willkommenen gibt's nicht nur keine Entlastung sondern neue Erhöhungen.,May 15 2017,10,
"@name @name Wir sind sowas am von am Arsch,merkens nicht und applaudieren noch.Geerd Wilders-no,Marie LePen-No,und nun yes für SED Murkel Partei die an",May 15 2017,1,
"@name Fürchterlich was Murkel alles her http:// die Tochter oder Affäre von,mit Honecker und noch H.Lectors Schwester oder was?",May 15 2017,0,
"@name In bestem Gewissen diesem Staat schenkten.Hauptsache all die unwillkommenen Kriminellen Leben im Luxus,so wies denen versprochen wurde.",May 15 2017,0,
"@name Jeder sollte das tun um sich zu schützen,denn die tun es sowieso.Ich kenne einige Frauen die es zum Schutz nun auch tun",May 15 2017,2,
"@name Nicht Rentner,die ihr Leben lang für diesen miesen korrupten kriminellen Staat arbeiten waren,Steuern zahlten,und ihre Gesundheit und Zeit",May 15 2017,0,
@name Nicht zu Europa und nirgends wohin,May 15 2017,3,
"@name Och,hat der gar nicht,nur Kultur gelebt,nur Religion und Freundlichkeit.",May 15 2017,0,
"@name Wenn die von Leitkultur und Sicherheit und Ordnung und werten erzählen ist Wahlkampf,denn die sind es die all das zerstören und drauf 💩💩💩👹",May 15 2017,0,
"WIR SIND DIE REVOLUTIONÄRE JUGEND
#AntiKap #NSjetzt #ResistCapitalism #KapitalismusZerschlagen
http://",May 17 2017,8,0029.jpg
@name @name Wat für dreckiger Abschaum.. 😠😠👊👊,May 19 2017,1,
#BSCB04 Peinlich peinlich.. Zum Glück musste ich arbeiten und brauchte mir dieses Elend nicht antun..,May 20 2017,1,
@name @name doppelhaken: für nafris umsomst,May 25 2017,0,
"@name was gescheites,. das kennen die nafris überhauot nicht.",May 25 2017,0,
